
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 3 | 022/200 | loss: 0.4452/0.3841 | acc: 0.8298/0.8239 | lr: 0.00030000 *
Fold 3 | 023/200 | loss: 0.4481/0.3799 | acc: 0.8228/0.8169 | lr: 0.00030000 *
Fold 3 | 024/200 | loss: 0.4384/0.3739 | acc: 0.8211/0.8239 | lr: 0.00030000 *
Fold 3 | 025/200 | loss: 0.4272/0.3714 | acc: 0.8316/0.8239 | lr: 0.00030000 *
Fold 3 | 026/200 | loss: 0.4277/0.3700 | acc: 0.8368/0.8239 | lr: 0.00030000 *
Fold 3 | 027/200 | loss: 0.4256/0.3665 | acc: 0.8351/0.8310 | lr: 0.00030000 *
Fold 3 | 028/200 | loss: 0.4346/0.3634 | acc: 0.8281/0.8239 | lr: 0.00030000 *
Fold 3 | 029/200 | loss: 0.4167/0.3635 | acc: 0.8316/0.8310 | lr: 0.00030000 
Fold 3 | 030/200 | loss: 0.4236/0.3607 | acc: 0.8404/0.8310 | lr: 0.00030000 *
Fold 3 | 031/200 | loss: 0.4363/0.3598 | acc: 0.8316/0.8310 | lr: 0.00030000 *
Fold 3 | 032/200 | loss: 0.4274/0.3593 | acc: 0.8368/0.8239 | lr: 0.00030000 *
Fold 3 | 033/200 | loss: 0.4236/0.3575 | acc: 0.8228/0.8239 | lr: 0.00030000 *
Fold 3 | 034/200 | loss: 0.4200/0.3556 | acc: 0.8298/0.8380 | lr: 0.00030000 *
Fold 3 | 035/200 | loss: 0.4121/0.3518 | acc: 0.8316/0.8310 | lr: 0.00030000 *
Fold 3 | 036/200 | loss: 0.4168/0.3534 | acc: 0.8368/0.8310 | lr: 0.00030000 
Fold 3 | 037/200 | loss: 0.4172/0.3537 | acc: 0.8368/0.8451 | lr: 0.00030000 
Fold 3 | 038/200 | loss: 0.4187/0.3479 | acc: 0.8386/0.8521 | lr: 0.00030000 *
Fold 3 | 039/200 | loss: 0.4074/0.3473 | acc: 0.8474/0.8521 | lr: 0.00030000 *
Fold 3 | 040/200 | loss: 0.4125/0.3480 | acc: 0.8368/0.8451 | lr: 0.00030000 
Fold 3 | 041/200 | loss: 0.4151/0.3472 | acc: 0.8456/0.8451 | lr: 0.00030000 *
Fold 3 | 042/200 | loss: 0.4018/0.3465 | acc: 0.8421/0.8451 | lr: 0.00030000 *
Fold 3 | 043/200 | loss: 0.4083/0.3439 | acc: 0.8368/0.8451 | lr: 0.00030000 *
Fold 3 | 044/200 | loss: 0.4158/0.3438 | acc: 0.8421/0.8380 | lr: 0.00030000 
Fold 3 | 045/200 | loss: 0.4208/0.3444 | acc: 0.8368/0.8380 | lr: 0.00030000 
Fold 3 | 046/200 | loss: 0.4155/0.3425 | acc: 0.8368/0.8380 | lr: 0.00030000 *
Fold 3 | 047/200 | loss: 0.4163/0.3412 | acc: 0.8404/0.8521 | lr: 0.00030000 *
Fold 3 | 048/200 | loss: 0.4119/0.3434 | acc: 0.8386/0.8451 | lr: 0.00030000 
Fold 3 | 049/200 | loss: 0.4068/0.3418 | acc: 0.8544/0.8521 | lr: 0.00030000 
Fold 3 | 050/200 | loss: 0.4078/0.3404 | acc: 0.8333/0.8521 | lr: 0.00030000 *
Fold 3 | 051/200 | loss: 0.3924/0.3361 | acc: 0.8491/0.8592 | lr: 0.00030000 *
Fold 3 | 052/200 | loss: 0.4116/0.3375 | acc: 0.8456/0.8592 | lr: 0.00030000 
