
======================================================================
Experiment: 309_dnn_64_32_16_lr_0_001
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
======================================================================
Model Information
======================================================================
Active model: dnn
DNN(
  (mlp): Sequential(
    (0): Linear(in_features=26, out_features=64, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=64, out_features=32, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.2, inplace=False)
    (6): Linear(in_features=32, out_features=16, bias=True)
    (7): ReLU()
    (8): Dropout(p=0.2, inplace=False)
    (9): Linear(in_features=16, out_features=1, bias=True)
  )
)

Mean CV Accuracy: 0.8371
CV STD: 0.0257
OOF Accuracy: 0.8371
OOF Precision: 0.8340
OOF Recall: 0.7179
OOF F1: 0.7717
OOF ROC-AUC: 0.8714
OOF PR-AUC: 0.8513
OOF Logloss: 0.3996
OOF Brier: 0.1221
OOF Confusion Matrix: TN=400, FP=39, FN=77, TP=196
OOF predictions saved: outputs\oof\309_dnn_64_32_16_lr_0_001.csv
OOF errors saved: outputs\oof\309_dnn_64_32_16_lr_0_001_errors.csv
Best epochs: [16, 10, 19, 56, 11]
Median best epoch: 16
Number of prediction models: 5

======================================================================
Holdout Evaluation
======================================================================
Holdout Accuracy: 0.8659
Holdout Precision: 0.9245
Holdout Recall: 0.7101
Holdout F1: 0.8033
Holdout ROC-AUC: 0.8931
Holdout PR-AUC: 0.8709
Holdout Logloss: 0.3886
Holdout Brier: 0.1169
Holdout Confusion Matrix: TN=106, FP=4, FN=20, TP=49

======================================================================
Kaggle Submission
======================================================================
Number of prediction models: 5
Mean predicted survival probability: 0.3952

Submission file saved successfully.
